time,loss
2024-06-05,0.2760644853115082
2024-06-06,0.13159805536270142
2024-06-07,0.24583718180656433
2024-06-10,0.3336103558540344
2024-06-11,0.32480669021606445
2024-06-12,0.2142575979232788
2024-06-13,0.2709670662879944
2024-06-14,0.2067359983921051
2024-06-17,0.6182336807250977
2024-06-18,0.19884848594665527
2024-06-19,0.2448459267616272
2024-06-20,0.6375258564949036
2024-06-21,1.0760183334350586
2024-06-24,0.501507580280304
2024-06-25,0.25741252303123474
2024-06-26,0.3028128743171692
2024-06-27,0.39339885115623474
2024-06-28,1.0797334909439087
2024-07-01,0.2703629732131958
2024-07-02,0.44924652576446533
2024-07-03,0.3989107608795166
2024-07-04,0.965891420841217
2024-07-05,0.3542405962944031
2024-07-08,0.2414642870426178
2024-07-09,1.401992678642273
2024-07-10,0.3847242593765259
2024-07-11,0.29161661863327026
2024-07-12,0.3813728094100952
2024-07-15,0.4361915588378906
2024-07-16,0.3043646514415741
2024-07-17,1.5866496562957764
2024-07-18,0.496463805437088
2024-07-19,0.3608189523220062
2024-07-23,0.2634647488594055
2024-07-24,0.5845412611961365
2024-07-25,0.5805326700210571
2024-07-26,0.551797091960907
2024-07-30,0.7327941060066223
2024-07-31,1.0224742889404297
2024-08-01,0.28555116057395935
2024-08-02,0.2933087944984436
2024-08-05,1.1239194869995117
2024-08-06,0.22023645043373108
2024-08-07,0.219474196434021
2024-08-08,1.1930360794067383
2024-08-09,0.318583607673645
2024-08-13,0.323620080947876
2024-08-14,4.182382583618164
2024-08-15,0.9495232105255127
2024-08-16,0.5652284622192383
2024-08-19,0.616888701915741
2024-08-20,3.116955280303955
2024-08-21,0.3443281650543213
2024-08-22,2.3893275260925293
2024-08-23,0.13905028998851776
2024-08-26,0.17694209516048431
2024-08-27,0.3642803132534027
2024-08-28,0.19266708195209503
2024-08-29,0.19616666436195374
2024-08-30,0.8890782594680786
2024-09-02,0.09055693447589874
2024-09-03,0.11097177863121033
2024-09-04,1.5080196857452393
2024-09-05,2.2760143280029297
2024-09-06,1.882482647895813
2024-09-09,0.6820254921913147
2024-09-10,0.4415624141693115
2024-09-11,0.515023410320282
2024-09-12,0.9013940095901489
2024-09-13,0.5522918701171875
2024-09-16,0.46177753806114197
2024-09-17,0.18926303088665009
2024-09-18,0.35314837098121643
2024-09-19,0.7953590154647827
2024-09-20,2.911874771118164
2024-09-23,0.46210384368896484
2024-09-24,0.6023697853088379
2024-09-25,0.3719787001609802
2024-09-26,0.21861574053764343
2024-09-27,0.4200648069381714
2024-09-30,0.9252957105636597
2024-10-01,0.36326825618743896
2024-10-02,0.21154126524925232
2024-10-03,0.626757800579071
2024-10-04,1.0508416891098022
2024-10-07,1.3396309614181519
2024-10-08,0.7442376017570496
2024-10-09,0.6207457780838013
2024-10-10,0.7495348453521729
2024-10-11,0.8336413502693176
2024-10-15,1.1492077112197876
2024-10-16,0.597256064414978
2024-10-17,0.8753648400306702
2024-10-18,1.0991413593292236
2024-10-21,0.5228462815284729
2024-10-22,0.4454957842826843
2024-10-24,0.46285367012023926
2024-10-25,0.1947917640209198
2024-10-28,0.31891873478889465
2024-10-29,0.3445785343647003
2024-10-30,0.7209150791168213
2024-10-31,2.0798349380493164
2024-11-01,0.3847752511501312
2024-11-04,0.5266992449760437
2024-11-05,1.2756636142730713
2024-11-06,0.21838036179542542
2024-11-07,0.2899860739707947
2024-11-08,0.3723023235797882
2024-11-11,0.22793908417224884
2024-11-12,0.2841699421405792
2024-11-13,0.22825098037719727
2024-11-14,0.37041759490966797
2024-11-15,0.38865530490875244
2024-11-18,0.11463228613138199
2024-11-19,0.2719113826751709
2024-11-20,0.1863366812467575
2024-11-21,0.23854157328605652
2024-11-22,0.25128400325775146
2024-11-25,2.229863405227661
2024-11-26,0.3894564211368561
2024-11-27,0.18271523714065552
2024-11-28,0.119138702750206
2024-11-29,0.3479617238044739
2024-12-02,0.1894695907831192
2024-12-03,0.5850694179534912
2024-12-04,0.6259779930114746
2024-12-06,1.0629043579101562
2024-12-09,0.2430112510919571
2024-12-11,1.1878098249435425
2024-12-12,0.7454581260681152
2024-12-13,0.39879047870635986
2024-12-16,2.6128687858581543
2024-12-17,5.981553077697754
2024-12-18,2.8818652629852295
2024-12-19,0.7944973111152649
2024-12-20,1.9577443599700928
2024-12-23,0.5181705951690674
2024-12-24,0.7590901851654053
2024-12-25,0.19921591877937317
2024-12-26,0.3167416751384735
2024-12-27,0.5434690713882446
2024-12-30,1.5107430219650269
2025-01-02,0.230505108833313
2025-01-03,0.2613027095794678
2025-01-06,0.4987265169620514
2025-01-07,0.4673580527305603
2025-01-08,0.2073999047279358
2025-01-09,0.49684667587280273
2025-01-10,0.30742430686950684
2025-01-13,0.5570405125617981
2025-01-14,0.5934698581695557
2025-01-15,0.507445216178894
2025-01-16,0.3893841505050659
2025-01-17,0.7121202349662781
2025-01-20,0.18292567133903503
2025-01-21,0.33953967690467834
2025-01-22,0.4498656988143921
2025-01-23,0.7864341735839844
2025-01-24,0.3910965323448181
2025-01-27,0.3021538257598877
2025-01-28,0.5930032134056091
2025-01-29,0.302782267332077
2025-01-30,0.2833055257797241
2025-01-31,8.86105728149414
2025-02-03,2.8454537391662598
2025-02-04,2.955221652984619
2025-02-05,2.233532428741455
2025-02-06,7.874823570251465
2025-02-07,3.1523098945617676
2025-02-10,1.3686925172805786
2025-02-11,0.8930407762527466
2025-02-13,0.9218038320541382
2025-02-14,1.423852562904358
2025-02-17,0.9952574372291565
2025-02-18,0.7768706679344177
2025-02-19,0.7141664028167725
