time,price_avg,vol_sum,id_count,buy_vol,sell_vol
2022-01-04,59.55463140258497,16355100,4178,2351678.807154927,451463.983512407
2022-01-05,59.75719246031746,17583300,3024,2275050.110517031,490120.875569407
2022-01-06,59.014709595959594,26684400,3960,8428000.051264899,703066.59129752
2022-01-07,58.53858137829912,21422700,2728,5577060.184933138,779427.0501385301
2022-01-10,58.3917089678511,12365300,3546,1410592.3601447446,412293.9944463288
2022-01-11,58.3873121869783,13104500,2396,2733783.1635586275,554935.1611542339
2022-01-12,58.52112417340191,21461000,2722,641518.5230186533,1422161.5153377918
2022-01-13,58.37653846153846,12121800,2600,468486.3892139526,744315.9781839448
2022-01-14,58.214944649446494,14546700,2439,527956.9177681678,649441.3812755871
2022-01-17,58.410991379310346,18333400,2320,406692.0258009113,915789.232510545
2022-01-18,58.27238805970149,14560400,2546,532111.3911974527,692475.0907673377
2022-01-19,57.958809135399676,9474900,2452,384846.9794577403,376609.807848275
2022-01-20,58.27653276955603,17776300,2365,508101.70714116987,705421.2703131099
2022-01-21,58.36635514018692,14519200,2140,631042.1476252518,483836.9947111511
2022-01-24,59.033038585209006,26158200,3110,716695.0984273286,924575.0336627974
2022-01-25,58.80545680767864,21437400,2813,674387.9916748541,922681.8326193796
2022-01-26,59.283670886075946,16609200,3950,511159.3665286225,378238.0350572665
2022-01-27,59.1287837469321,36894600,3667,846408.979011835,892345.6822684256
2022-01-28,61.199016702586206,65971600,7424,1015706.5576463614,1257481.9446225273
2022-01-31,62.33213271103896,34580900,4928,3966563.496333205,925829.8446370006
2022-02-01,62.42051070840198,17442700,2428,2148363.881853409,1009038.0966958363
2022-02-02,62.986528592375365,24718700,2728,2430649.6499213297,859923.134467798
2022-02-03,63.313856589147285,15336100,2580,1103093.9073504996,620526.7700537806
2022-02-04,62.98233372921615,20721000,1684,3234328.7018054407,851940.5256918059
2022-02-07,62.943732193732195,18637800,3159,1838126.914817689,688127.5232583013
2022-02-08,62.67062615101289,29591500,2715,4837051.019763968,999732.298387548
2022-02-09,63.65716803760282,40215500,4255,6423531.468869231,819218.5301197891
2022-02-10,63.95340030911901,24066200,3235,4843332.056025429,1125248.9137795449
2022-02-11,63.747035040431264,24698300,3710,2652746.6275357073,650574.1098797371
2022-02-14,64.10021028793271,12959400,3091,2470165.9415751947,571879.4946528447
2022-02-15,64.27407987470635,14939100,2554,2122053.448743765,781609.550055441
2022-02-17,65.44705073349633,40287800,6544,2400656.9538020827,734975.7909382347
2022-02-18,65.64231242312424,31528300,4065,2111477.77084144,889050.5546160087
2022-02-21,66.62545620437956,50658800,6028,4058664.857854828,817585.6536057012
2022-02-22,66.17259064885496,37904700,4192,4331549.866582722,817088.9191961362
2022-02-23,67.40635984182776,29650000,4552,3428551.861475297,820778.7819930748
2022-02-24,66.31215150932513,47415600,5201,4002415.9600677923,1516492.7682890638
2022-02-25,67.21079167560609,45123900,4661,3414812.6152257826,771843.34201076
2022-02-28,67.6344309866263,37591300,3963,7354912.643495256,1027394.8907169964
2022-03-01,67.90514098201264,37053500,4114,3140779.0104479445,1117102.9043475622
2022-03-02,67.79876071345842,29635000,4317,4933388.532835964,874889.4109918922
2022-03-03,68.6282866836302,24616400,4716,2583098.5345999254,730632.5460387616
2022-03-04,68.09040274207369,26344400,3501,5699481.73376116,815180.1972138328
2022-03-07,65.75075025008336,51355500,5998,5942843.510310981,1125715.0058626619
2022-03-08,65.21809125036096,57619500,6926,3590725.6630130857,1250959.8626670456
2022-03-09,65.84453928905519,45638400,4276,5263725.113770237,1950450.5603003097
2022-03-10,66.10928203094011,23141800,2521,3141673.162220603,1829511.252425503
2022-03-11,65.92405618964004,28377200,4556,3908388.1718984637,673001.8949924619
2022-03-14,66.07439869547493,17831900,2453,2584476.144267802,971495.2034455981
2022-03-15,66.1856343283582,22706900,3484,2575086.3405370843,1171618.449990736
2022-03-16,67.25331174565794,32093700,3397,4017516.292289015,925394.2461952027
2022-03-17,67.92186815593517,21068800,4566,2958807.258414132,593432.7048534154
2022-03-18,67.32198905109489,52528500,2740,34130602.3231679,599025.9140753738
2022-03-21,67.25409441233141,22865000,2076,3834062.6436191974,1153579.038920401
2022-03-22,66.158525621816,38701400,3337,4469795.603196487,1342533.4370068447
2022-03-23,65.2397228277795,33188700,3211,4287148.250916338,947827.273478996
2022-03-24,64.3802400270453,28260700,2958,4120829.8517925534,1170357.0417719744
2022-03-25,64.4545,23685900,2000,3483916.2624322213,657756.5336231102
2022-03-28,64.22444196428572,13445800,2240,4310431.35715148,555192.7301587302
2022-03-29,64.41028656971771,17931900,2338,2679987.6241245205,765565.4734449465
2022-03-30,65.4078592612564,20868300,3709,2242179.3144472213,515040.5385173224
2022-03-31,65.23131846635368,23141300,2556,5651929.174403153,1042002.4387301455
2022-04-01,65.12555697008276,8247400,1571,1859117.1221797462,472686.438529679
2022-04-04,65.39952229299364,11758700,1570,1772660.683491227,520272.1095622195
2022-04-05,65.67287390029325,13746600,1705,1786365.4918690668,425110.4358944284
2022-04-07,65.26841980573325,23070900,4221,2633901.558879397,1015116.3990217824
2022-04-08,66.77214611872147,25951700,3285,2885051.896990179,730714.6130428797
2022-04-11,66.69201631701631,15221400,1716,2742686.8321867883,711595.9624008719
2022-04-12,67.35621630727763,20802900,2968,1157342.1037690595,659402.1457640541
2022-04-18,67.07069757727652,12871800,2394,2539513.11960549,484226.2388269907
2022-04-19,66.72622478386167,22037800,2429,3069409.413572273,818382.2502057209
2022-04-20,67.13326322115384,15438700,1664,2284038.7007344654,679916.8016274468
